Ensayo,Tratamiento,Dia,Evento_Sin_muerte,Evento_Muerte_sin_hongo,Evento_Muerte_con_Bb,Evento_Muerte_con_hongo, Muertes,Supervivientes
3,BbQ : Sac 75 : 25,20/3/2024,1,0,0,0,0,52
3,BbQ : Sac 50 : 50,20/3/2024,1,0,0,0,0,49
3,BbQ : Sac 25 : 75,20/3/2024,1,0,0,0,0,62
3,Control Sacarosa 25%m/V,21/3/2024,1,0,0,0,0,74
3,Bb 100%,21/3/2024,0,0,0,1,7,40
3,Bb : Sac 75 : 25,21/3/2024,0,0,0,1,2,49
3,Bb : Sac 50 : 50,21/3/2024,0,0,0,1,1,60
3,Bb : Sac 25 : 75,21/3/2024,1,0,0,0,0,57
3,BbQ 100%,21/3/2024,1,0,0,0,0,71
3,BbQ : Sac 75 : 25,21/3/2024,1,0,0,0,0,52
3,BbQ : Sac 50 : 50,21/3/2024,1,0,0,0,0,49
3,BbQ : Sac 25 : 75,21/3/2024,1,0,0,0,0,62
3,Control Sacarosa 25%m/V,22/3/2024,1,0,0,0,0,74
3,Bb 100%,22/3/2024,1,0,0,0,0,28
3,Bb : Sac 75 : 25,22/3/2024,1,0,0,0,0,49
3,Bb : Sac 50 : 50,22/3/2024,1,0,0,0,0,60
3,Bb : Sac 25 : 75,22/3/2024,1,0,0,0,0,57
3,BbQ 100%,22/3/2024,1,0,0,0,0,71
3,BbQ : Sac 75 : 25,22/3/2024,1,0,0,0,0,52
3,BbQ : Sac 50 : 50,22/3/2024,1,0,0,0,0,49
3,BbQ : Sac 25 : 75,22/3/2024,1,0,0,0,0,62
2,Control Agua,26/2/2024,0,0,0,1,9,89
2,Control Sacarosa 25%m/V,26/2/2024,0,0,0,1,8,94
2,Bb 100%,26/2/2024,0,0,0,1,19,89
2,BbQ 100%,26/2/2024,0,0,0,1,20,78
2,Control Agua,27/2/2024,0,0,0,1,1,88
2,Control Sacarosa 25%m/V,27/2/2024,1,0,0,0,0,94
2,Bb 100%,27/2/2024,0,0,0,1,1,88
2,BbQ 100%,27/2/2024,1,0,0,0,0,78
2,Control Agua,29/2/2024,1,0,0,0,0,88
2,Control Sacarosa 25%m/V,29/2/2024,1,0,0,0,0,94
2,Bb 100%,29/2/2024,1,0,0,0,0,88
2,BbQ 100%,29/2/2024,1,0,0,0,0,78
2,Control Agua,4/3/2024,1,0,0,0,0,88
2,Control Sacarosa 25%m/V,4/3/2024,1,0,0,0,0,94
2,Bb 100%,4/3/2024,1,0,0,0,0,88
2,BbQ 100%,4/3/2024,1,0,0,0,0,78
1,Control Sacarosa 25%m/V,20/2/2024,0,1,0,0,88,22
1,Bb 100%,20/2/2024,0,1,0,0,70,26
1,Bb : Sac 75 : 25,20/2/2024,0,1,0,0,67,29
1,Bb : Sac 50 : 50,20/2/2024,0,1,0,0,57,56
1,Bb : Sac 25 : 75,20/2/2024,0,1,0,0,60,49
1,BbQ 100%,20/2/2024,0,1,0,0,93,8
1,BbQ : Sac 75 : 25,20/2/2024,0,1,0,0,50,68
1,BbQ : Sac 50 : 50,20/2/2024,0,1,0,0,43,64
1,BbQ : Sac 25 : 75,20/2/2024,0,1,0,0,68,48
1,Control Sacarosa 25%m/V,21/2/2024,0,0,0,1,22,0
1,Bb 100%,21/2/2024,0,0,0,1,23,3
1,Bb : Sac 75 : 25,21/2/2024,0,0,0,1,27,2
1,Bb : Sac 50 : 50,21/2/2024,0,0,0,1,45,11
1,Bb : Sac 25 : 75,21/2/2024,0,0,0,1,45,4
1,BbQ 100%,21/2/2024,0,0,0,1,8,0
1,BbQ : Sac 75 : 25,21/2/2024,0,0,0,1,62,6
1,BbQ : Sac 50 : 50,21/2/2024,0,0,0,1,55,9
1,BbQ : Sac 25 : 75,21/2/2024,0,0,0,1,46,2
1,Control Sacarosa 25%m/V,22/2/2024,1,0,0,0,0,0
1,Bb 100%,22/2/2024,0,0,0,1,3,0
1,Bb : Sac 75 : 25,22/2/2024,0,0,0,1,2,0
1,Bb : Sac 50 : 50,22/2/2024,0,0,0,1,11,0
1,Bb : Sac 25 : 75,22/2/2024,0,0,0,1,4,0
1,BbQ 100%,22/2/2024,1,0,0,0,0,0
1,BbQ : Sac 75 : 25,22/2/2024,0,0,0,1,6,0
1,BbQ : Sac 50 : 50,22/2/2024,0,0,0,1,9,0
1,BbQ : Sac 25 : 75,22/2/2024,0,0,0,1,2,0
